Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Previous_Scores,Motivation_Level,Tutoring_Sessions,Family_Income,Teacher_Quality,Peer_Influence,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Study_Efficiency,High_Support,Family_Education_Support,Exam_Score
21,69,2,2,1,80,0,2,2,0,2,0,0,2,0.25925925925925924,0,0,68
35,99,0,0,1,85,1,2,2,0,1,0,2,2,0.4069767441860465,1,1,79
22,71,2,2,1,56,1,0,2,0,1,0,2,2,0.38596491228070173,0,0,65
20,71,0,0,1,80,2,2,0,1,2,0,1,2,0.24691358024691357,1,0,68
23,91,0,2,0,93,2,3,1,1,1,0,1,1,0.24468085106382978,0,0,71
15,94,2,0,1,64,2,2,1,2,0,0,0,2,0.23076923076923078,1,0,68
4,91,2,2,0,86,1,3,1,2,1,1,0,1,0.04597701149425287,0,0,64
15,86,2,1,0,90,2,0,2,0,1,0,2,0,0.16483516483516483,0,0,66
15,70,1,2,0,63,1,0,2,2,2,0,1,1,0.234375,0,0,61
18,98,1,2,1,65,2,1,0,2,1,0,2,2,0.2727272727272727,0,0,70
15,83,1,1,1,75,2,1,2,2,1,0,1,0,0.19736842105263158,0,0,63
23,69,2,0,1,60,2,2,1,0,0,0,1,2,0.3770491803278688,1,0,66
17,87,2,2,0,52,1,1,2,2,2,0,0,2,0.32075471698113206,0,0,67
25,72,2,2,0,89,1,3,1,0,1,0,1,2,0.2777777777777778,0,0,68
14,60,1,1,1,67,1,3,0,0,2,0,1,2,0.20588235294117646,0,0,61
28,71,2,0,0,66,2,2,1,2,2,0,0,2,0.417910447761194,1,0,69
17,69,0,2,1,87,1,2,1,2,1,0,0,2,0.19318181818181818,0,0,65
13,67,0,0,1,76,2,2,1,2,1,0,1,2,0.16883116883116883,1,0,65
19,67,2,0,0,77,2,1,2,0,0,0,2,2,0.24358974358974358,0,0,66
25,61,2,2,0,81,0,0,2,2,2,0,1,1,0.3048780487804878,0,0,65
18,99,2,2,1,86,2,1,0,2,1,0,1,1,0.20689655172413793,0,0,70
22,92,0,0,0,72,1,1,1,0,1,1,2,2,0.3013698630136986,0,1,71
33,71,1,2,0,84,2,1,2,2,2,0,1,2,0.38823529411764707,0,0,68
15,91,2,2,0,72,1,0,2,2,1,0,1,1,0.2054794520547945,0,0,65
21,84,0,1,0,66,0,2,0,2,2,1,0,0,0.31343283582089554,0,0,68
22,84,0,2,0,69,2,3,2,0,1,0,0,2,0.3142857142857143,0,0,70
23,76,1,2,1,78,1,2,0,2,2,0,1,1,0.2911392405063291,0,0,66
23,70,2,0,0,94,1,3,2,0,1,0,1,2,0.24210526315789474,1,0,68
21,93,1,1,1,91,1,1,0,2,0,0,2,2,0.22826086956521738,0,0,69
34,81,2,2,1,82,1,1,2,0,0,0,1,2,0.40963855421686746,0,0,71
14,86,2,1,1,90,2,3,2,2,0,1,2,2,0.15384615384615385,0,0,65
24,64,2,2,1,67,1,0,1,2,1,0,1,2,0.35294117647058826,0,0,62
27,74,2,0,0,54,2,3,2,2,1,0,0,2,0.4909090909090909,1,0,69
21,75,2,2,1,70,1,3,2,2,2,1,2,2,0.29577464788732394,0,0,67
20,98,1,2,0,75,0,4,2,2,2,0,0,2,0.2631578947368421,0,0,72
9,78,0,2,0,57,1,1,1,0,2,0,1,1,0.15517241379310345,0,0,63
25,69,0,2,1,98,2,1,1,2,0,1,0,1,0.25252525252525254,0,0,66
20,84,0,1,0,71,2,5,1,0,2,0,1,0,0.2777777777777778,0,0,68
23,67,1,2,0,88,2,2,2,2,1,0,1,2,0.25842696629213485,0,0,65
13,91,1,2,0,90,2,1,0,2,0,1,1,1,0.14285714285714285,0,0,65
16,63,1,2,1,57,2,2,1,1,1,0,2,2,0.27586206896551724,0,0,61
24,92,2,0,0,76,2,2,0,2,2,0,1,2,0.3116883116883117,1,0,72
21,79,0,0,1,52,2,1,1,2,1,1,1,2,0.39622641509433965,0,0,66
17,74,2,2,1,62,2,2,0,2,2,0,1,2,0.2698412698412698,0,0,66
19,66,0,2,0,77,1,3,2,2,0,0,0,1,0.24358974358974358,0,0,64
19,84,2,2,1,56,1,2,1,2,1,0,1,1,0.3333333333333333,0,0,65
24,99,0,2,0,92,1,2,0,2,1,0,1,0,0.25806451612903225,0,0,72
23,63,2,2,0,69,0,2,2,1,0,1,1,2,0.32857142857142857,0,0,63
19,88,2,0,0,86,2,4,2,2,2,1,0,1,0.21839080459770116,1,0,70
27,61,0,1,0,51,0,1,1,2,2,0,0,0,0.5192307692307693,0,0,63
24,66,0,1,1,81,0,1,2,2,1,0,1,0,0.2926829268292683,0,0,65
9,62,0,0,1,90,0,4,0,2,1,0,0,0,0.0989010989010989,1,0,65
22,76,2,2,1,71,2,0,1,0,1,0,1,1,0.3055555555555556,0,0,65
22,69,0,2,0,74,0,1,2,1,0,1,0,2,0.29333333333333333,0,0,65
19,72,2,2,1,96,1,1,2,0,2,0,2,1,0.1958762886597938,0,0,67
24,82,2,2,0,85,1,1,1,2,0,0,1,2,0.27906976744186046,0,0,66
22,91,2,2,0,74,2,1,2,2,0,1,0,1,0.29333333333333333,0,0,67
25,82,2,0,0,54,2,0,2,2,1,0,1,2,0.45454545454545453,0,0,67
25,69,2,2,1,64,2,1,0,1,0,0,2,1,0.38461538461538464,0,0,66
18,62,2,2,1,62,2,1,2,2,2,0,0,1,0.2857142857142857,0,0,63
11,94,0,0,0,88,2,2,2,2,2,0,1,2,0.12359550561797752,1,0,70
21,66,0,2,0,61,2,2,0,0,1,0,0,2,0.3387096774193548,0,0,66
12,80,2,1,0,90,2,3,1,2,1,0,1,2,0.13186813186813187,0,0,64
20,99,2,1,0,64,1,1,0,2,2,0,1,2,0.3076923076923077,0,0,69
16,85,2,1,0,79,1,1,0,2,1,0,0,2,0.2,0,0,66
8,85,2,1,1,54,1,1,1,0,2,0,1,2,0.14545454545454545,0,0,62
16,67,2,2,1,53,1,2,2,2,2,0,1,1,0.2962962962962963,0,0,62
19,79,2,2,0,92,0,1,2,0,2,0,1,2,0.20430107526881722,0,0,68
13,99,2,2,1,57,2,1,1,2,0,0,0,2,0.22413793103448276,0,0,68
27,95,2,0,0,88,0,3,2,2,2,0,1,0,0.30337078651685395,1,0,74
20,92,2,1,0,69,2,0,1,2,2,0,2,0,0.2857142857142857,0,0,67
25,98,2,0,1,51,2,0,2,2,2,0,0,1,0.4807692307692308,0,0,72
22,87,0,0,1,64,2,2,2,0,0,0,1,1,0.3384615384615385,1,0,70
16,71,1,1,1,59,0,1,1,0,2,0,2,2,0.26666666666666666,0,0,82
26,96,2,2,1,68,2,3,0,2,2,0,0,2,0.37681159420289856,0,0,74
15,86,0,2,1,66,1,0,2,0,2,0,0,2,0.22388059701492538,0,0,68
26,86,1,0,1,82,2,2,1,2,2,0,1,1,0.3132530120481928,1,0,70
14,96,2,0,1,97,1,2,2,2,0,0,1,2,0.14285714285714285,1,0,70
24,79,1,0,0,99,0,2,1,0,0,0,1,2,0.24,1,0,68
17,78,2,2,0,86,2,0,1,1,1,0,0,2,0.19540229885057472,0,0,63
16,78,1,0,0,62,2,0,0,0,0,0,1,0,0.25396825396825395,0,0,63
18,69,0,0,1,97,2,2,2,2,2,0,0,2,0.1836734693877551,1,0,69
26,66,0,0,0,71,0,2,2,2,1,0,1,2,0.3611111111111111,1,0,68
31,68,0,2,0,86,1,1,1,2,2,0,1,1,0.3563218390804598,0,0,68
